,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,67.55,84.85,118.96,92.67,137.78,142.81,162.19,147.86,199.34,199.7,245.3,174.1,174.71
Expenses,63.7,80.77,107.12,85.2,129.55,132.52,144.74,139.66,182.45,183.77,222.76,161.62,164.72
Operating Profit,3.85,4.08,11.84,7.47,8.23,10.29,17.45,8.2,16.89,15.93,22.54,12.48,9.99
OPM %,5.7,4.81,9.95,8.06,5.97,7.21,10.76,5.55,8.47,7.98,9.19,7.17,5.72
Other Income,0.54,0.31,0.46,0.69,0.42,0.66,0.93,0.1,1.44,1.86,1.1,9.67,2.9
Interest,1.06,0.88,1.76,1.23,1.19,2.19,1.54,1.84,3.45,4.03,3.59,3.66,3.28
Depreciation,2.78,2.75,2.7,2.71,2.71,2.72,2.63,2.71,2.64,2.59,2.7,2.41,2.6
Profit before tax,0.55,0.76,7.84,4.22,4.75,6.04,14.21,3.75,12.24,11.17,17.35,16.08,7.01
Tax %,40.0,61.84,19.26,28.91,22.95,25.66,25.62,18.93,25.0,25.69,25.3,25.44,24.39
Net Profit,0.34,0.29,6.33,3.01,3.66,4.49,10.58,3.05,9.18,8.3,12.96,11.98,5.3
EPS in Rs,0.11,0.1,2.11,1.0,1.22,1.5,3.53,1.02,3.06,2.77,4.32,3.99,1.77
