,2011-03-01,2012-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2.0,2.0,2.0,5.0,4.95,4.95,6.75,10.13,10.13,10.13,10.13,10.13
Reserves,2.87,3.13,4.78,10.92,12.03,14.36,25.95,27.22,31.36,37.62,42.18,44.47
Borrowings,2.81,0.54,13.14,13.26,14.52,20.41,27.03,23.67,18.17,16.05,24.18,15.58
Other Liabilities,3.52,1.72,5.57,2.13,2.32,4.86,3.35,5.66,6.03,7.05,6.85,10.39
Total Liabilities,11.2,7.39,25.49,31.31,33.82,44.58,63.08,66.68,65.69,70.85,83.34,80.57
Fixed Assets,3.69,3.0,12.51,17.05,19.21,17.92,38.81,44.68,41.95,46.02,63.04,61.35
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06,0.0,0.0,0.0
Other Assets,7.51,4.39,12.98,14.26,14.61,26.66,24.27,22.0,20.68,24.83,20.3,19.22
Total Assets,11.2,7.39,25.49,31.31,33.82,44.58,63.08,66.68,65.69,70.85,83.34,80.57
