,Mar 2011,Mar 2012,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,17.01,11.8,23.05,24.91,33.58,40.96,51.67,67.48,59.77,76.88,92.58,86.13
Expenses,14.81,10.63,18.99,20.62,26.97,33.29,43.85,52.15,47.0,61.55,79.16,72.21
Operating Profit,2.2,1.17,4.06,4.29,6.61,7.67,7.82,15.33,12.77,15.33,13.42,13.92
OPM %,12.93,9.92,17.61,17.22,19.68,18.73,15.13,22.72,21.37,19.94,14.5,16.16
Other Income,0.32,0.22,0.4,0.73,0.22,0.27,2.17,0.23,0.57,0.51,1.41,1.12
Interest,0.14,0.07,0.79,0.95,1.3,1.37,1.23,2.57,1.86,1.37,1.68,1.74
Depreciation,1.26,0.94,2.15,3.36,3.87,3.32,3.93,6.25,5.93,6.26,7.02,7.46
Profit before tax,1.12,0.38,1.52,0.71,1.66,3.25,4.83,6.74,5.55,8.21,6.13,5.84
Tax %,26.79,34.21,32.89,36.62,34.34,28.31,31.26,28.04,25.41,25.46,26.1,
Net Profit,0.81,0.26,1.01,0.44,1.09,2.34,3.31,4.84,4.14,6.12,4.54,4.33
EPS in Rs,0.27,0.09,0.34,0.06,0.15,0.31,0.33,0.48,0.41,0.6,0.45,0.42
