,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.44,0.00,0.0,1.99,0.00,0.01
Expenses,0.03,0.03,0.05,0.07,0.05,0.04,0.03,1.43,0.11,0.02,1.72,0.12,0.13
Operating Profit,-0.03,-0.03,-0.05,-0.07,-0.05,-0.04,-0.03,0.01,-0.11,-0.02,0.27,-0.12,-0.12
OPM %,,,,,,,,0.69,,33.33,13.57,,-1200.00
Other Income,0.02,0.02,0.04,0.00,0.00,-0.01,0.00,0.0,0.00,0.03,-0.81,0.00,0.00
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.0,0.0,0.00,0.00
Depreciation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.0,0.0,0.00,0.00
Profit before tax,-0.01,-0.01,-0.01,-0.07,-0.05,-0.05,-0.03,0.01,-0.11,0.01,-0.54,-0.12,-0.12
Tax %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.0,0.0,0.00,
Net Profit,-0.01,-0.02,-0.01,-0.07,-0.05,-0.05,-0.03,0.01,-0.11,0.0,-0.54,-0.12,-0.12
EPS in Rs,-0.00,-0.00,-0.00,-0.01,-0.00,-0.00,-0.00,0.0,-0.01,0.0,-0.04,-0.01,-0.01
