,2022-11-01,2023-03-01
Sales,0.68,13.44
Expenses,0.61,12.4
Operating Profit,0.07,1.04
OPM %,10.29,7.74
Other Income,0.01,-0.48
Interest,0.0,0.09
Depreciation,0.02,0.11
Profit before tax,0.06,0.36
Tax %,33.33,41.67
Net Profit,0.04,0.21
EPS in Rs,8.0,0.65
