,2023-09-01
Depreciation,0.1
EPS in Rs,1.57
Expenses,8.67
Interest,0.13
Net Profit,0.51
OPM %,7.86
Operating Profit,0.74
Other Income,0.18
Profit before tax,0.69
Sales,9.41
Tax %,24.64
