,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,19,19,19,19,19,19,19,19,19
Reserves,224,256,276,299,326,349,15,16,16
Borrowings,363,351,224,137,102,110,23,50,48
Other Liabilities,172,197,316,349,258,364,16,12,13
Total Liabilities,779,822,835,804,705,842,72,97,96
Fixed Assets,206,225,247,259,248,240,44,47,46
CWIP,4,14,4,0,0,0,0,0,0
Investments,3,2,2,2,2,2,2,2,0
Other Assets,566,581,582,542,454,599,26,47,50
Total Assets,779,822,835,804,705,842,72,97,96
