,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1858.0,1950.0,1718.0,1983.0,1745.0,1550.0,40.0,272.0,109
Expenses,1794.0,1857.0,1621.0,1877.0,1669.0,1487.0,41.0,277.0,118
Operating Profit,64.0,93.0,97.0,106.0,76.0,63.0,-0.0,-5.0,-10
OPM %,3.0,5.0,6.0,5.0,4.0,4.0,-1.0,-2.0,-9
Other Income,19.0,11.0,8.0,12.0,12.0,17.0,6.0,15.0,20
Interest,51.0,54.0,55.0,60.0,45.0,36.0,0.0,6.0,5
Depreciation,14.0,13.0,17.0,17.0,12.0,12.0,3.0,2.0,3
Profit before tax,17.0,37.0,33.0,41.0,30.0,32.0,3.0,2.0,2
Tax %,33.0,30.0,38.0,37.0,-2.0,25.0,-93.0,25.0,
Net Profit,11.0,26.0,20.0,26.0,30.0,24.0,5.0,2.0,1
EPS in Rs,1.21,2.77,2.17,2.77,3.21,2.53,0.53,0.16,0.13
