,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,60.0,59.0,52.0,49.0,68.0,87.0,111.0,97.0,79.0,76.0
Expenses,55.0,54.0,50.0,45.0,63.0,80.0,105.0,90.0,71.0,60.0
Operating Profit,5.0,5.0,2.0,4.0,5.0,6.0,6.0,7.0,9.0,16.0
OPM %,9.0,9.0,5.0,8.0,8.0,7.0,6.0,7.0,11.0,21.0
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Interest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
Depreciation,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
Profit before tax,4.0,3.0,1.0,2.0,4.0,4.0,4.0,4.0,7.0,13.0
Tax %,20.0,15.0,25.0,18.0,31.0,17.0,22.0,16.0,18.0,16.0
Net Profit,3.0,3.0,1.0,2.0,3.0,4.0,3.0,4.0,6.0,11.0
EPS in Rs,2.98,2.89,0.64,1.98,2.72,3.55,3.36,3.71,5.55,10.78
