,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,0,6,6,11,19,28,28
Reserves,0,0,0,5,6,9,20,79,86
Borrowings,0,0,2,3,7,8,3,1,12
Other Liabilities,0,0,5,2,13,17,8,43,10
Total Liabilities,0,1,8,16,33,45,51,151,136
Fixed Assets,0,0,0,3,4,5,7,6,6
CWIP,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0
Other Assets,0,1,7,12,30,40,44,144,130
Total Assets,0,1,8,16,33,45,51,151,136
