,2021-03-01,2022-03-01,2023-03-01
Sales,10.56,14.83,15.01
Expenses,9.92,14.5,12.44
Operating Profit,0.64,0.33,2.57
OPM %,6.06,2.23,17.12
Other Income,0.14,0.5,0.17
Interest,0.38,0.41,0.44
Depreciation,0.38,0.23,0.25
Profit before tax,0.02,0.19,2.05
Tax %,200.0,21.05,24.39
Net Profit,-0.01,0.14,1.54
EPS in Rs,-0.82,11.42,125.61
