,2021-03-01,2022-03-01,2023-03-01
Debtor Days,143.79,85.4,53.98
Inventory Days,243.0,145.26,173.4
Days Payable,222.67,118.61,1.72
Cash Conversion Cycle,164.12,112.05,225.67
Working Capital Days,156.92,104.6,145.66
ROCE %,,6.22,24.52
