,2021-03-01
Depreciation,781.0
EPS in Rs,-284.72
Expenses,1255.0
Interest,817.0
Net Profit,-1220.0
OPM %,12.0
Operating Profit,168.0
Other Income,169.0
Profit before tax,-1262.0
Sales,1422.0
Tax %,1.0
