,2020-12-01,2021-09-01,2021-12-01
Sales,459.0,693.0,590.0
Expenses,418.0,647.0,529.0
Operating Profit,41.0,46.0,61.0
OPM %,9.0,7.0,10.0
Other Income,22.0,12.0,16.0
Interest,210.0,175.0,192.0
Depreciation,174.0,172.0,170.0
Profit before tax,-322.0,-288.0,-285.0
Tax %,0.0,0.0,0.0
Net Profit,-295.0,-286.0,-273.0
EPS in Rs,-69.19,-68.89,-68.76
