,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,53.04,40.55,31.25,44.74,55.66,56.45,70.76,67.27,13.42,10.46,8.15,-0.02,0.0
Expenses,49.04,38.9,29.85,41.35,50.06,48.54,67.85,65.38,14.29,12.1,8.74,0.41,0.32
Operating Profit,4.0,1.65,1.4,3.39,5.6,7.91,2.91,1.89,-0.87,-1.64,-0.59,-0.43,-0.32
OPM %,7.54,4.07,4.48,7.58,10.06,14.01,4.11,2.81,-6.48,-15.68,-7.24,,
Other Income,0.06,0.13,0.14,0.24,0.29,0.21,0.46,0.16,5.21,2.84,2.55,2.61,2.14
Interest,1.56,1.49,1.48,1.79,2.37,3.73,3.16,2.96,1.55,0.0,0.0,0.00,0.0
Depreciation,1.69,1.28,1.17,1.75,2.92,3.4,3.43,3.83,0.35,0.22,0.01,0.01,0.0
Profit before tax,0.81,-0.99,-1.11,0.09,0.6,0.99,-3.22,-4.74,2.44,0.98,1.95,2.17,1.82
Tax %,33.33,32.32,27.93,111.11,20.0,49.49,31.06,28.27,11.89,60.2,22.56,25.35,
Net Profit,0.53,-0.67,-0.79,0.0,0.48,0.49,-2.22,-3.4,2.15,0.39,1.51,1.63,1.3599999999999999
EPS in Rs,13.14,-16.6,-19.58,0.0,6.3,0.64,-2.13,-3.26,2.06,0.37,1.45,1.56,1.3
