,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,11.52,11.41,12.26,13.6,14.0,14.96
Expenses,10.32,10.55,11.26,11.89,12.66,14.03
Operating Profit,1.2,0.86,1.0,1.71,1.34,0.93
OPM %,10.42,7.54,8.16,12.57,9.57,6.22
Other Income,0.07,0.05,0.06,0.14,0.07,0.15
Interest,0.02,0.08,0.06,0.17,0.19,0.46
Depreciation,0.2,0.23,0.44,0.47,0.34,0.4
Profit before tax,1.05,0.6,0.56,1.21,0.88,0.22
Tax %,25.71,28.33,42.86,27.27,26.14,59.09
Net Profit,0.77,0.44,0.32,0.87,0.65,0.1
EPS in Rs,0.76,0.43,0.31,0.86,0.64,0.1
