,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7.84,5.41,6.04,10.53,15.21,15.21,17.71,45.07,40.03,36.14,41.61,48.79,54.82
Expenses,6.9,5.61,5.3,8.29,11.53,11.57,14.51,34.67,34.43,33.17,37.42,44.03,49.84
Operating Profit,0.94,-0.2,0.74,2.24,3.68,3.64,3.2,10.4,5.6,2.97,4.19,4.76,4.98
OPM %,11.99,-3.7,12.25,21.27,24.19,23.93,18.07,23.08,13.99,8.22,10.07,9.76,9.08
Other Income,-0.05,0.01,-0.06,0.03,0.06,-0.24,0.08,0.31,0.28,0.36,0.66,0.32,0.42
Interest,0.08,0.11,0.11,0.15,0.07,0.07,0.62,0.55,0.48,0.49,0.56,0.33,0.88
Depreciation,0.22,0.27,0.34,0.8,0.72,0.68,1.0,2.27,1.69,1.21,1.06,1.34,1.65
Profit before tax,0.59,-0.57,0.23,1.32,2.95,2.65,1.66,7.89,3.71,1.63,3.23,3.41,2.87
Tax %,57.63,17.54,60.87,44.7,39.66,29.06,36.14,28.77,41.78,29.45,34.98,29.62,
Net Profit,0.25,-0.48,0.1,0.73,1.77,1.88,1.06,5.62,2.17,1.15,2.1,2.4,1.94
EPS in Rs,8.33,-6.86,1.43,10.43,25.29,2.54,1.04,5.51,2.13,1.13,2.07,2.36,1.91
