,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,54.96,54.96,54.8,54.8,54.67,44.89,41.15,41.97
FIIs,0.02,0.23,0.0,0.0,0.0,0.19,10.9,11.33
DIIs,0.25,0.34,0.03,0.02,0.01,0.0,0.01,0.02
Government,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0
Public,44.76,44.38,45.17,45.19,45.32,54.91,47.95,46.69
No. of Shareholders,36642.0,31445.0,27707.0,24934.0,24243.0,32890.0,34007.0,52305.0
