,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,11,11,11,11,11,11,11,11,11,11,11,11
Reserves,160,165,104,106,97,269,312,319,301,322,355,414
Preference Capital,117,117,117,117,117,0,117,117,117,117,0,0
Borrowings,39,41,2,20,21,214,243,214,221,149,1,1
Other Liabilities,148,147,195,386,608,403,441,542,610,691,528,504
Total Liabilities,358,364,313,524,737,897,1006,1086,1144,1173,895,931
Fixed Assets,301,300,300,3,2,2,2,2,2,1,2,33
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,29,29,0,0,0,2,0,0,0,1,1,1
Other Assets,29,35,12,520,735,894,1005,1084,1142,1171,892,897
Total Assets,358,364,313,524,737,897,1006,1086,1144,1173,895,931
