,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,8.0,8.0,9.0,7.0,0.0,455.0,46.0,0.0,41.0,29.0,74.0,147.0
Expenses,5.0,3.0,8.0,3.0,5.0,31.0,5.0,5.0,7.0,10.0,15.0,44.0
Operating Profit,3.0,4.0,1.0,4.0,-5.0,424.0,41.0,-4.0,34.0,19.0,59.0,103.0
OPM %,39.0,56.0,14.0,61.0,-10760.0,93.0,90.0,-1189.0,83.0,65.0,79.0,70.0
Other Income,0.0,1.0,-39.0,1.0,2.0,13.0,15.0,42.0,42.0,42.0,10.0,8.0
Interest,0.0,0.0,22.0,2.0,5.0,22.0,23.0,46.0,38.0,28.0,16.0,8.0
Depreciation,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Profit before tax,3.0,5.0,-61.0,2.0,-9.0,415.0,34.0,-9.0,38.0,33.0,53.0,99.0
Tax %,27.0,15.0,0.0,19.0,0.0,33.0,80.0,-73.0,147.0,38.0,37.0,40.0
Net Profit,2.0,4.0,-61.0,2.0,-9.0,279.0,7.0,-15.0,-18.0,20.0,33.0,59.0
EPS in Rs,1.02,1.97,-27.16,0.88,-3.91,125.21,2.93,-6.74,-7.99,9.09,15.01,26.63
