,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,4.18,9.1,21.0,14.06,15.17,21.79
Expenses,2.97,6.93,17.62,12.31,12.62,17.39
Operating Profit,1.21,2.17,3.38,1.75,2.55,4.4
OPM %,28.95,23.85,16.1,12.45,16.81,20.19
Other Income,0.26,0.88,0.4,0.96,1.29,0.68
Interest,0.28,0.41,0.44,0.45,0.62,1.01
Depreciation,0.08,0.11,0.17,0.27,0.27,0.42
Profit before tax,1.11,2.53,3.17,1.99,2.95,3.65
Tax %,27.93,33.2,22.4,25.63,20.34,25.75
Net Profit,0.8,1.69,2.45,1.49,2.34,2.72
EPS in Rs,8.0,1.64,2.29,1.39,2.19,2.55
