,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,1.1,-2.97,3.98,-2.46,-1.4,10.99
Cash from Investing Activity,-0.15,-0.52,-0.03,0.84,-2.83,-15.25
Cash from Financing Activity,-0.86,4.19,-0.11,-0.51,2.3,3.63
Net Cash Flow,0.09,0.71,3.83,-2.13,-1.93,-0.64
