,2019-03-01,2020-03-01,2022-06-01,2022-09-01,2023-03-01,2023-06-01,2023-09-01
Sales,6.22,16.19,4.77,6.32,5.15,2.25,5.43
Expenses,4.99,13.52,4.39,4.46,3.87,1.38,3.72
Operating Profit,1.23,2.67,0.38,1.86,1.28,0.87,1.71
OPM %,19.77,16.49,7.97,29.43,24.85,38.67,31.49
Other Income,0.5,0.26,0.2,0.36,0.07,0.17,0.04
Interest,0.23,0.18,0.13,0.25,0.37,0.25,0.31
Depreciation,0.07,0.12,0.1,0.16,0.14,0.17,0.15
Profit before tax,1.43,2.63,0.35,1.81,0.84,0.62,1.29
Tax %,34.27,18.63,60.0,22.1,22.62,12.9,34.11
Net Profit,0.94,2.16,0.14,1.41,0.66,0.55,0.85
EPS in Rs,0.91,2.02,0.13,1.32,0.62,0.52,0.8
