,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.7000000000000001,7.33,7.66,7.66,10.66,10.66,10.66
Reserves,1.09,2.23,4.5,5.98,8.55,11.26,12.36
Borrowings,3.39,4.21,3.94,5.14,9.8,7.62,11.89
Other Liabilities,0.67,2.8,11.5,7.49,6.69,9.64,5.29
Total Liabilities,5.85,16.57,27.6,26.27,35.7,39.18,40.2
Fixed Assets,1.32,2.67,2.92,2.79,6.64,9.42,8.79
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,1.62
Investments,0.13,0.06,0.06,0.06,0.06,12.51,13.51
Other Assets,4.4,13.84,24.62,23.42,29.0,17.25,16.28
Total Assets,5.85,16.57,27.6,26.27,35.7,39.18,40.2
