,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,74.47,74.47,74.47,74.47
FIIs,0.21,0.05,0.1,0.01
DIIs,1.95,0.28,0.27,0.27
Public,23.38,25.21,25.15,25.24
No. of Shareholders,85573.0,90936.0,86161.0,83509.0
