,2022-09-01,2023-09-01
Sales,10.7,12.17
Expenses,10.03,10.98
Operating Profit,0.67,1.19
OPM %,6.26,9.78
Other Income,0.0,0.02
Interest,0.23,0.32
Depreciation,0.11,0.15
Profit before tax,0.33,0.74
Tax %,21.21,25.68
Net Profit,0.26,0.55
EPS in Rs,5.2,2.02
