,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,,279590.00,,,18417.90,
Inventory Days,,,,,0.00,
Days Payable,,,,,,
Cash Conversion Cycle,,279590.00,,,18417.90,
Working Capital Days,,282266.67,,,18527.40,
ROCE %,,-5.03,0.86,0.80,0.38,0.09
