,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,34.61,34.61,34.61,34.61,34.61,34.61,34.61
Reserves,-3.1,-3.28,-1.07,-1.6,-0.41,-25.63,-25.61
Borrowings,0.02,0.01,0.37,0.46,0.25,0.11,0.08
Other Liabilities,0.18,0.34,0.32,0.18,0.21,0.1,0.1
Total Liabilities,31.71,31.68,34.23,33.65,34.66,9.19,9.18
Fixed Assets,0.0,0.0,0.12,0.11,0.3,0.25,0.23
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Other Assets,31.21,31.18,33.61,33.04,33.86,8.44,8.45
Total Assets,31.71,31.68,34.23,33.65,34.66,9.19,9.18
