,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,768.0,662.0,685.0,879.0,1226.0,1448.0,2070.0,2716.0,2430.0,2098
Expenses,755.0,648.0,669.0,859.0,1200.0,1412.0,1991.0,2644.0,2409.0,2091
Operating Profit,13.0,14.0,16.0,20.0,26.0,36.0,78.0,72.0,21.0,7
OPM %,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0,0
Other Income,-0.0,0.0,1.0,0.0,2.0,2.0,8.0,11.0,8.0,4
Interest,6.0,5.0,2.0,3.0,7.0,8.0,-4.0,4.0,4.0,0
Depreciation,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2
Profit before tax,6.0,8.0,14.0,16.0,19.0,27.0,89.0,76.0,22.0,8
Tax %,20.0,30.0,34.0,36.0,34.0,25.0,25.0,25.0,24.0,
Net Profit,5.0,5.0,9.0,10.0,13.0,21.0,67.0,57.0,17.0,6
EPS in Rs,14.49,16.89,28.2,32.07,39.78,64.54,208.49,179.23,53.11,19.04
