,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3,3,3,3,3,3,3,3,3,3
Reserves,76,81,103,123,131,154,238,323,316,319
Borrowings,60,64,61,97,80,85,116,148,38,66
Other Liabilities,24,23,22,23,28,42,53,43,47,76
Total Liabilities,163,172,190,246,243,284,411,516,404,464
Fixed Assets,15,15,16,16,18,20,22,24,22,30
CWIP,10,10,10,10,10,11,10,10,15,14
Investments,17,17,51,60,57,61,83,117,103,103
Other Assets,121,130,114,160,158,192,296,366,263,317
Total Assets,163,172,190,246,243,284,411,516,404,464
