,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,5.64,4.84,1.48,3.38,7.11,9.2,13.16,18.37,26.09,20.14,23.75,25.71,26.66
Expenses,5.43,5.4,1.42,2.9,6.5,8.08,11.48,14.91,22.0,17.54,20.02,22.42,23.39
Operating Profit,0.21,-0.56,0.06,0.48,0.61,1.12,1.68,3.46,4.09,2.6,3.73,3.29,3.27
OPM %,3.72,-11.57,4.05,14.2,8.58,12.17,12.77,18.84,15.68,12.91,15.71,12.8,12.27
Other Income,0.05,0.07,0.12,0.17,0.23,0.09,0.1,0.02,0.09,0.07,0.1,0.48,0.40
Interest,0.01,0.02,0.02,0.11,0.17,0.4,0.48,0.46,0.8,0.67,0.21,0.0,0.00
Depreciation,0.05,0.11,0.12,0.23,0.14,0.15,0.18,0.52,0.56,0.48,0.45,0.61,0.67
Profit before tax,0.2,-0.62,0.04,0.31,0.53,0.66,1.12,2.5,2.82,1.52,3.17,3.16,3.00
Tax %,-15.0,1.61,225.0,-12.9,5.66,24.24,23.21,29.6,27.66,29.61,28.39,27.53,
Net Profit,0.22,-0.61,-0.04,0.34,0.49,0.5,0.86,1.76,2.04,1.08,2.27,2.3,2.18
EPS in Rs,220.0,-610.0,-40.0,340.0,490.0,500.0,860.0,1760.0,2040.0,9.31,14.35,14.53,13.77
