,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,15,19,19,20,20,20,20,20,20,20,20,19
Reserves,4,5,5,8,3,-3,-2,-4,-10,-8,8,11
Borrowings,3,45,62,52,86,113,43,49,51,113,144,106
Other Liabilities,15,12,17,24,10,44,36,10,27,11,13,23
Total Liabilities,37,82,102,104,119,174,98,76,88,135,185,159
Fixed Assets,12,12,11,13,13,14,13,15,3,4,5,5
CWIP,1,1,1,0,0,1,1,1,0,0,0,0
Investments,0,10,5,12,1,0,0,0,0,1,1,1
Other Assets,24,59,84,79,105,159,83,59,85,130,179,154
Total Assets,37,82,102,104,119,174,98,76,88,135,185,159
