,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,24.94,24.94,24.94,24.94,24.94,24.94,24.94,24.94,24.94
Reserves,17.22,18.52,20.37,22.1,23.77,27.62,32.77,35.81,39.4
Borrowings,0.32,0.01,0.0,39.1,36.74,50.81,85.43,170.37,175.17
Other Liabilities,1.66,0.15,1.32,7.01,12.62,19.53,37.13,47.98,49.45
Total Liabilities,44.14,43.62,46.63,93.15,98.07,122.9,180.27,279.1,288.96
Fixed Assets,0.14,0.18,0.4,0.43,1.78,2.72,9.85,9.45,8.73
CWIP,0.0,0.0,0.11,0.25,0.03,0.0,0.26,0.0,0.0
Investments,2.2,1.44,2.03,3.76,3.65,10.84,2.5700000000000003,1.05,0.05
Other Assets,41.8,42.0,44.09,88.71,92.61,109.34,167.59,268.6,280.18
Total Assets,44.14,43.62,46.63,93.15,98.07,122.9,180.27,279.1,288.96
