,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7.58,9.13,7.0,10.15,17.66,17.8,23.61,45.45,56.73
Expenses,5.67,6.52,5.27,6.65,8.93,6.48,11.61,20.52,20.88
Operating Profit,1.91,2.61,1.73,3.5,8.73,11.32,12.0,24.93,35.85
OPM %,25.2,28.59,24.71,34.48,49.43,63.6,50.83,54.85,63.19
Other Income,0.05,0.0,0.05,0.0,0.45,0.3,0.72,0.97,1.38
Interest,0.91,0.16,0.03,0.76,4.53,4.71,5.73,17.13,22.61
Depreciation,0.06,0.04,0.07,0.13,0.67,0.47,1.61,2.37,2.56
Profit before tax,0.99,2.41,1.68,2.61,3.98,6.44,5.38,6.4,12.06
Tax %,31.31,29.05,26.19,23.37,30.9,22.83,24.91,28.12,
Net Profit,0.6,1.73,1.85,2.0,2.75,4.97,4.04,4.61,8.28
EPS in Rs,0.24,0.69,0.76,0.73,0.71,1.44,2.06,1.23,4.58
