,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,8,16,18,18,18,18,18,37,37,37,37,37,37
Reserves,604,622,716,762,883,1071,1126,1290,1192,1392,1407,1512,1603
Borrowings,566,630,534,569,451,498,544,281,283,168,171,47,45
Other Liabilities,241,250,386,468,417,266,291,335,325,359,408,466,536
Total Liabilities,1419,1518,1654,1817,1770,1853,1979,1942,1836,1956,2023,2062,2220
Fixed Assets,1030,1062,1094,1074,1068,1097,1091,1101,1149,1147,1122,1116,1117
CWIP,3,7,4,16,8,9,15,14,24,10,8,15,14
Investments,2,2,61,194,86,28,113,104,0,0,0,0,5
Other Assets,384,447,494,533,608,719,760,723,662,799,893,930,1084
Total Assets,1419,1518,1654,1817,1770,1853,1979,1942,1836,1956,2023,2062,2220
