,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,10.39,11.96,32.78,3.22,4.67,7.35,2.81,3.4,2.43,1.85,1.96,3.96,4.71
Expenses,10.16,11.27,31.32,2.35,4.5,7.41,2.69,3.24,2.42,1.84,0.86,3.0,2.15
Operating Profit,0.23,0.69,1.46,0.87,0.17,-0.06,0.12,0.16,0.01,0.01,1.1,0.96,2.56
OPM %,2.21,5.77,4.45,27.02,3.64,-0.82,4.27,4.71,0.41,0.54,56.12,24.24,54.35
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,-0.75
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.00
Depreciation,0.01,0.01,0.09,0.07,0.04,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.04
Profit before tax,0.22,0.68,1.37,0.8,0.13,-0.06,0.12,0.16,0.02,0.02,1.06,0.8,1.77
Tax %,31.82,30.88,32.12,31.25,30.77,16.67,41.67,31.25,50.0,0.0,0.94,25.0,
Net Profit,0.15,0.47,0.93,0.55,0.08,-0.05,0.07,0.11,0.02,0.01,1.04,0.6,1.45
EPS in Rs,0.0,0.0,0.01,0.01,0.0,-0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01
