,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,40.59,38.78,41.13,40.82,35.76,25.24,34.64,34.35,26.53,25.69
Expenses,38.67,37.34,40.64,39.52,34.51,24.49,33.39,33.53,24.38,24.81
Operating Profit,1.92,1.44,0.49,1.3,1.25,0.75,1.25,0.82,2.15,0.88
OPM %,4.73,3.71,1.19,3.18,3.5,2.97,3.61,2.39,8.1,3.43
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.0
Interest,0.9,0.89,0.86,0.75,1.14,0.64,1.09,0.66,1.61,0.58
Depreciation,0.02,0.01,0.01,0.01,0.02,0.01,0.1,0.07,0.07,0.07
Profit before tax,1.0,0.54,-0.38,0.54,0.09,0.1,0.07,0.09,0.5,0.23
Tax %,23.0,25.93,0.0,5.56,33.33,40.0,14.29,33.33,28.0,0.0
Net Profit,0.77,0.4,-0.38,0.51,0.07,0.06,0.06,0.06,0.37,0.23
EPS in Rs,0.5,0.26,-0.25,0.24,0.03,0.03,0.03,0.03,0.18,0.11
