,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,5.28,9.21,11.77,12.98,13.76,18.04,24.0,31.18,8.95,19.71,44.89,46.90
Expenses,4.9,8.75,11.3,12.31,11.55,15.72,20.6,28.42,9.64,18.07,36.0,37.01
Operating Profit,0.38,0.46,0.47,0.67,2.21,2.32,3.4,2.76,-0.69,1.64,8.89,9.89
OPM %,7.2,4.99,3.99,5.16,16.06,12.86,14.17,8.85,-7.71,8.32,19.8,21.09
Other Income,0.02,0.06,0.13,0.1,0.3,0.5,0.8,0.69,0.92,0.59,1.08,1.27
Interest,0.02,0.19,0.24,0.21,0.19,0.25,0.21,0.07,0.03,0.04,0.06,0.05
Depreciation,0.08,0.17,0.19,0.2,0.19,0.22,0.41,0.57,0.55,0.51,0.71,0.67
Profit before tax,0.3,0.16,0.17,0.36,2.13,2.35,3.58,2.81,-0.35,1.68,9.2,10.44
Tax %,30.0,37.5,94.12,13.89,37.56,30.64,31.01,23.49,8.57,81.55,26.63,
Net Profit,0.21,0.1,0.01,0.3,1.34,1.62,2.46,2.14,-0.32,0.31,6.74,7.80
EPS in Rs,1.05,0.5,0.05,1.5,1.68,1.47,2.24,1.96,-0.29,0.28,6.18,7.15
