,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.5,0.5,0.5,0.5,2.0,2.73,2.73,5.45,5.45,5.45,10.9,10.9
Reserves,1.35,1.45,1.69,1.99,1.83,6.26,8.72,7.81,7.48,8.8,10.03,14.12
Borrowings,0.15,2.23,1.56,1.74,1.55,1.97,0.05,0.06,0.0,0.0,0.16,0.09
Other Liabilities,2.88,4.95,5.63,4.73,6.16,7.05,9.15,8.39,6.47,8.01,11.0,15.88
Total Liabilities,4.88,9.13,9.38,8.96,11.54,18.01,20.65,21.71,19.4,22.26,32.09,40.99
Fixed Assets,1.05,2.56,2.83,2.95,2.84,2.96,4.02,3.72,2.56,2.7,3.56,3.49
CWIP,0.02,0.04,0.04,0.04,0.06,0.38,0.37,0.23,0.59,0.3,0.6900000000000001,0.92
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9
Other Assets,3.81,6.53,6.51,5.97,8.64,14.67,16.26,17.76,16.25,19.26,26.94,35.68
Total Assets,4.88,9.13,9.38,8.96,11.54,18.01,20.65,21.71,19.4,22.26,32.09,40.99
