,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,20.74,13.87,21.4,28.4,82.5,21.65,19.16,22.71,75.85,52.04,37.16
Inventory Days,378.62,357.25,260.14,198.14,318.57,323.9,365.0,204.0,650.38,286.74,208.51
Days Payable,29.96,134.07,46.41,42.24,96.43,72.37,126.16,88.17,268.47,141.94,73.29
Cash Conversion Cycle,369.4,237.06,235.13,184.31,304.64,273.17,258.0,138.54,457.77,196.83,172.38
Working Capital Days,162.45,131.57,85.59,88.58,114.86,116.14,72.39,65.32,316.06,145.19,120.26
ROCE %,,11.33,10.34,14.04,48.28,31.82,33.75,23.21,-3.05,12.73,52.41
