,2019-03-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,12.39,15.3,1.75,7.2,7.01,12.7,22.16,22.73,24.17
Expenses,10.35,14.43,2.62,7.0,6.85,11.22,17.97,18.04,18.97
Operating Profit,2.04,0.87,-0.87,0.2,0.16,1.48,4.19,4.69,5.2
OPM %,16.46,5.69,-49.71,2.78,2.28,11.65,18.91,20.63,21.51
Other Income,0.37,0.27,0.13,0.79,0.39,0.2,0.52,0.56,0.71
Interest,0.09,0.01,0.01,0.03,0.02,0.02,0.03,0.03,0.02
Depreciation,0.25,0.3,0.28,0.28,0.24,0.27,0.4,0.31,0.36
Profit before tax,2.07,0.83,-1.03,0.68,0.29,1.39,4.28,4.91,5.53
Tax %,36.71,32.53,-3.88,-10.29,-3.45,27.34,28.97,24.64,26.04
Net Profit,1.31,0.56,-1.07,0.74,0.3,1.01,3.04,3.71,4.09
EPS in Rs,1.19,0.51,-0.98,0.68,0.28,0.93,2.79,3.4,3.75
