,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,11,12,12,12,12,12,12,12,11,11,11,10,10
Reserves,23,25,22,28,34,43,50,65,61,67,73,73,86
Borrowings,24,23,25,26,24,26,41,39,33,31,24,21,10
Other Liabilities,22,39,50,26,41,49,54,56,57,45,61,63,14
Total Liabilities,80,98,109,92,111,130,158,172,162,155,169,167,119
Fixed Assets,41,41,37,42,40,38,58,56,55,52,51,48,49
CWIP,0,0,1,0,0,0,0,0,1,0,0,0,0
Investments,0,0,0,0,0,0,1,10,5,8,5,2,4
Other Assets,39,57,72,50,71,92,99,105,101,95,113,117,67
Total Assets,80,98,109,92,111,130,158,172,162,155,169,167,119
