,2023-03-01,2023-06-01,2023-09-01
Sales,62.65,62.88,62.71
Expenses,9.59,7.62,6.83
Operating Profit,53.06,55.26,55.88
OPM %,84.69,87.88,89.11
Other Income,0.18,0.43,0.83
Interest,15.61,15.83,16.06
Depreciation,49.16,46.54,47.06
Profit before tax,-11.53,-6.68,-6.41
Tax %,22.72,-6.29,-7.8
Net Profit,-8.92,-7.1,-6.92
EPS in Rs,-0.56,-0.45,-0.44
