,2023-03-01
Depreciation,77.0
EPS in Rs,-2.02
Expenses,15.0
Interest,44.0
Net Profit,-32.0
OPM %,84.0
Operating Profit,79.0
Other Income,6.0
Profit before tax,-36.0
Sales,94.0
Tax %,11.0
