,2023-03-01,2023-09-01
Equity Capital,1562,1562.0
Reserves,-52,
Borrowings,742,
Other Liabilities,73,
Total Liabilities,2326,
Fixed Assets,2098,
CWIP,0,
Investments,131,
Other Assets,97,
Total Assets,2326,
