,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.37,0.07,13.44,0.31,10.71,16.25,18.34
Expenses,1.47,1.17,4.03,201.18,9.82,8.36,7.22
Operating Profit,-1.1,-1.1,9.41,-200.87,0.89,7.89,11.12
OPM %,-297.3,-1571.43,70.01,-64796.77,8.31,48.55,60.63
Other Income,0.04,0.01,0.04,0.07,0.07,0.01,0.37
Interest,1.32,0.59,0.75,0.43,0.32,0.42,0.32
Depreciation,0.06,0.02,0.08,0.05,0.04,0.06,0.24
Profit before tax,-2.44,-1.7,8.62,-201.28,0.6,7.42,10.93
Tax %,-57.79,0.0,31.67,-0.96,268.33,-0.94,25.16
Net Profit,-3.85,-1.7,5.89,-203.22,-1.02,7.48,8.19
EPS in Rs,-2.22,-0.98,3.4,-117.19,-0.59,4.31,4.72
