,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,73.42,74.34,74.78,73.39
FIIs,0.0,0.0,0.0,0.15
Public,26.58,25.66,25.22,26.45
No. of Shareholders,113.0,172.0,698.0,1248.0
