,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,23.31,14.51,7.85,17.87,25.13,33.29,17.85,27.28,29.04,30.66,27.68,34.81
Expenses,33.14,13.89,8.29,19.49,21.69,30.59,14.85,24.23,25.67,25.88,23.89,30.93
Operating Profit,-9.83,0.62,-0.44,-1.62,3.44,2.7,3.0,3.05,3.37,4.78,3.79,3.88
OPM %,-42.17,4.27,-5.61,-9.07,13.69,8.11,16.81,11.18,11.6,15.59,13.69,11.15
Other Income,0.02,0.05,0.03,-1.34,0.03,-0.01,0.03,0.18,0.1,0.24,0.1,0.68
Interest,0.95,0.82,0.75,0.93,0.84,1.66,1.19,1.33,1.39,1.44,1.25,1.16
Depreciation,0.57,0.83,0.58,0.59,0.57,0.8,0.58,0.59,0.6,0.6,0.6,0.6
Profit before tax,-11.33,-0.98,-1.74,-4.48,2.06,0.23,1.26,1.31,1.48,2.98,2.04,2.8
Tax %,25.95,-196.94,13.22,16.52,-5.34,-1382.61,19.84,15.27,15.54,16.44,16.67,17.14
Net Profit,-8.38,-2.91,-1.51,-3.74,2.17,3.41,1.01,1.11,1.25,2.49,1.7,2.33
EPS in Rs,-4.82,-1.67,-0.87,-2.15,1.25,1.96,0.58,0.53,0.6,1.19,0.81,1.11
