,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,8,8,8,16,16,16,16,31,31,31,31,31,31
Reserves,225,251,300,349,401,505,570,635,675,848,1101,1334,1439
Borrowings,138,168,150,177,178,134,108,218,133,84,104,104,71
Other Liabilities,184,196,231,264,266,292,321,338,292,415,476,403,531
Total Liabilities,554,622,689,806,860,947,1015,1221,1132,1378,1713,1873,2072
Fixed Assets,197,228,255,316,381,407,424,532,585,552,508,487,468
CWIP,3,3,9,37,10,14,27,37,9,6,15,32,72
Investments,14,19,17,18,19,60,54,55,20,63,104,134,155
Other Assets,341,372,408,436,451,466,510,597,518,757,1086,1221,1378
Total Assets,554,622,689,806,860,947,1015,1221,1132,1378,1713,1873,2072
