,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01
Equity Capital,2.85,2.85,3.12,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92
Reserves,-0.81,-0.81,-0.78,-0.75,-0.7000000000000001,-0.64,-0.62,-0.61,-0.61,-0.61,-0.61,-0.65
Borrowings,0.0,0.0,0.0,0.0,0.0,0.15,9.01,8.04,8.04,7.9,6.25,5.85
Other Liabilities,0.01,0.02,0.48,4.66,4.91,12.06,3.04,3.67,3.67,3.66,3.63,3.64
Total Liabilities,2.05,2.06,2.8200000000000003,7.83,8.13,15.49,15.35,15.02,15.02,14.87,13.19,12.76
Fixed Assets,0.1,0.1,0.09,0.08,0.04,0.02,0.01,0.01,0.01,0.01,0.01,0.01
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.2,0.2,0.2,0.33,0.33,8.86,8.86,8.86,8.86,8.86,8.86,8.86
Other Assets,1.75,1.76,2.53,7.42,7.76,6.61,6.48,6.15,6.15,6.0,4.32,3.89
Total Assets,2.05,2.06,2.8200000000000003,7.83,8.13,15.49,15.35,15.02,15.02,14.87,13.19,12.76
