,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,0.62,1.24,5.22,5.35,20.82,24.54,5.08,6.01,8.76,12.30
Expenses,0.0,0.6,1.21,4.78,5.3,20.57,24.6,4.83,5.52,7.83,10.96
Operating Profit,0.0,0.02,0.03,0.44,0.05,0.25,-0.06,0.25,0.49,0.93,1.34
OPM %,,3.23,2.42,8.43,0.93,1.2,-0.24,4.92,8.15,10.62,10.89
Other Income,0.0,0.0,0.0,0.0,0.33,0.34,0.27,0.04,0.03,0.13,0.39
Interest,0.0,0.0,0.0,0.0,0.08,0.08,0.13,0.0,0.01,0.04,0.29
Depreciation,0.0,0.0,0.01,0.01,0.13,0.16,0.17,0.17,0.15,0.14,0.16
Profit before tax,0.0,0.02,0.02,0.43,0.17,0.35,-0.09,0.12,0.36,0.88,1.28
Tax %,,0.0,0.0,27.91,35.29,40.0,22.22,33.33,25.0,43.18,
Net Profit,0.0,0.01,0.01,0.31,0.1,0.22,-0.07,0.09,0.27,0.51,0.80
EPS in Rs,,0.5,0.5,15.5,0.09,0.21,-0.07,0.08,0.25,0.48,0.74
