,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.09,0.09,0.09,5.36,10.71,10.71,10.71,10.71,10.71,10.71
Reserves,0.0,0.01,0.03,0.33,7.17,1.95,1.88,1.97,2.24,2.75,14.99
Borrowings,0.05,0.0,0.0,3.25,0.0,0.54,0.0,0.11,0.08,1.49,3.25
Other Liabilities,0.12,0.45,0.84,4.85,1.62,3.23,4.13,1.51,1.38,2.64,5.24
Total Liabilities,0.18,0.55,0.96,8.52,14.15,16.43,16.72,14.3,14.41,17.59,34.19
Fixed Assets,0.0,0.16,0.15,1.61,1.54,1.98,1.82,1.6800000000000002,1.53,1.75,2.04
CWIP,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,3.65,9.03
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Other Assets,0.18,0.39,0.81,6.91,12.26,14.45,14.9,12.62,12.88,12.19,23.09
Total Assets,0.18,0.55,0.96,8.52,14.15,16.43,16.72,14.3,14.41,17.59,34.19
