,2018-12-01,2021-06-01,2021-09-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.0,0.48,8.47,8.92,1.9,0.11,3.22,1.2,1.9,4.81
Expenses,0.0,0.38,9.22,8.17,1.85,0.56,3.3,1.53,1.85,4.64
Operating Profit,0.0,0.1,-0.75,0.75,0.05,-0.45,-0.08,-0.33,0.05,0.17
OPM %,,20.83,-8.85,8.41,2.63,-409.09,-2.48,-27.5,2.63,3.53
Other Income,0.0,0.0,0.72,4.49,0.56,0.78,1.37,3.61,0.56,1.6
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.0,0.0,0.05,0.06,0.02,0.02,0.06,0.01,0.02,0.0
Profit before tax,0.0,0.1,-0.08,5.18,0.59,0.31,1.23,3.27,0.59,1.77
Tax %,,0.0,0.0,9.65,25.42,25.81,13.01,0.0,25.42,16.95
Net Profit,0.0,0.1,-0.08,4.68,0.44,0.23,1.07,3.27,0.44,1.47
EPS in Rs,0.0,0.1,-0.08,4.67,0.44,0.23,1.07,3.26,0.44,1.47
