,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,71.99,76.22,78.36,92.63,75.81,64.08,33.22,37.11,24.8,30.08,26.8,16.45,17.74
Expenses,70.82,73.56,75.76,89.11,72.05,63.85,29.08,32.29,22.6,26.14,23.65,16.06,16.82
Operating Profit,1.17,2.66,2.6,3.52,3.76,0.23,4.14,4.82,2.2,3.94,3.15,0.39,0.92
OPM %,1.63,3.49,3.32,3.8,4.96,0.36,12.46,12.99,8.87,13.1,11.75,2.37,5.19
Other Income,0.98,1.6,0.59,0.58,0.39,5.59,-0.57,1.23,4.4,0.34,0.99,0.87,0.64
Interest,1.08,1.14,0.66,1.31,1.63,1.44,1.55,1.53,1.9,1.01,1.0,0.76,0.81
Depreciation,0.1,0.82,1.13,1.28,1.27,1.43,1.82,2.3,2.51,2.62,2.56,2.47,2.64
Profit before tax,0.97,2.3,1.4,1.51,1.25,2.95,0.2,2.22,2.19,0.65,0.58,-1.97,-1.89
Tax %,5.15,23.91,28.57,31.79,32.0,-5.08,55.0,9.46,2.28,26.15,3.45,29.95,
Net Profit,0.92,1.75,0.99,1.03,0.85,3.1,0.08,2.01,2.14,0.48,0.57,-1.39,-1.31
EPS in Rs,0.48,0.91,0.52,0.54,0.44,1.62,0.04,1.05,1.12,0.25,0.3,-0.72,-0.68
