,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,28.36,28.77,46.03,60.7,48.97,55.73,93.66,93.24,91.46
Expenses,22.77,24.45,40.31,52.66,45.66,50.55,84.56,83.83,83.05
Operating Profit,5.59,4.32,5.72,8.04,3.31,5.18,9.1,9.41,8.41
OPM %,19.71,15.02,12.43,13.25,6.76,9.29,9.72,10.09,9.20
Other Income,0.57,0.56,0.07,0.48,0.29,0.41,0.17,4.1,4.34
Interest,2.63,2.63,2.2,2.39,1.74,1.92,2.25,2.5,3.07
Depreciation,3.67,3.36,2.99,3.08,3.16,3.79,4.18,4.14,5.19
Profit before tax,-0.14,-1.11,0.6,3.05,-1.3,-0.12,2.84,6.87,4.49
Tax %,-50.0,16.22,-46.67,30.82,26.15,83.33,23.24,24.02,
Net Profit,-0.21,-0.94,0.9,2.11,-1.04,-0.13,2.22,5.22,3.59
EPS in Rs,-0.25,-1.09,1.05,1.99,-0.97,-0.12,2.1,4.94,3.84
