,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,7.05,7.05,7.05,8.8,8.8,8.8,10.56,10.56,11.41
Reserves,6.02,5.09,5.98,11.52,10.48,11.28,11.61,16.85,24.77
Borrowings,24.25,24.22,22.5,20.46,24.13,26.6,27.44,32.44,40.23
Other Liabilities,4.03,7.65,8.82,6.73,8.21,13.33,12.13,13.73,17.39
Total Liabilities,41.35,44.01,44.35,47.51,51.62,60.01,61.74,73.58,93.8
Fixed Assets,28.94,26.84,24.87,27.46,36.9,38.39,41.13,47.99,58.38
CWIP,0.01,0.0,0.06,0.55,0.01,0.98,4.29,2.77,0.27
Investments,0.08,0.08,0.08,0.23,0.74,0.27,0.43,0.43,0.47
Other Assets,12.32,17.09,19.34,19.27,13.97,20.37,15.89,22.39,34.68
Total Assets,41.35,44.01,44.35,47.51,51.62,60.01,61.74,73.58,93.8
