,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,11.16,11.16,9.04,9.04,9.04,9.04,9.04,9.04
Reserves,161.06,167.22,53.65,53.5,54.89,55.58,55.7,56.13
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.18
Other Liabilities,2.38,5.08,0.92,0.8300000000000001,0.65,1.35,1.16,0.75
Total Liabilities,174.6,183.46,63.61,63.37,64.58,65.97,66.17,66.1
Fixed Assets,8.23,8.46,8.31,8.02,8.39,8.6,9.28,9.16
CWIP,0.0,0.0,0.24,0.33,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.14,0.17,0.18,7.18
Other Assets,166.37,175.0,55.06,55.02,56.05,57.2,56.71,49.76
Total Assets,174.6,183.46,63.61,63.37,64.58,65.97,66.17,66.1
