,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,11.76,12.37,6.62,6.41,6.47,6.87,6.42
Expenses,4.41,6.84,28.08,5.05,3.83,5.15,5.47,4.82
Operating Profit,-4.41,4.92,-15.71,1.57,2.58,1.32,1.4,1.60
OPM %,,41.84,-127.0,23.72,40.25,20.4,20.38,24.92
Other Income,6.67,4.25,2.64,0.05,-0.04,0.83,0.1,0.05
Interest,0.00,0.0,0.0,0.0,0.0,0.0,0.01,0.03
Depreciation,0.07,0.31,0.31,0.34,0.34,0.32,0.38,0.41
Profit before tax,2.19,8.86,-13.38,1.28,2.2,1.83,1.11,1.21
Tax %,32.88,30.47,-17.26,85.16,43.18,63.93,90.09,
Net Profit,1.47,6.16,-15.68,0.2,1.3,0.69,0.12,0.41
EPS in Rs,0.66,2.76,-8.67,0.11,0.72,0.38,0.07,0.23
