,2022-09-01,2023-09-01
Sales,15.17,46.46
Expenses,12.4,37.24
Operating Profit,2.77,9.22
OPM %,18.26,19.85
Other Income,0.17,0.07
Interest,0.65,1.17
Depreciation,1.66,2.79
Profit before tax,0.63,5.33
Tax %,50.79,24.95
Net Profit,0.3,4.0
EPS in Rs,300.0,9.24
