,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,51.44,43.39,57.28,82.86
Inventory Days,,,,
Days Payable,,,,
Cash Conversion Cycle,51.44,43.39,57.28,82.86
Working Capital Days,-49.42,-18.80,41.89,48.47
ROCE %,,31.54,19.96,17.21
