,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,3,11,12,16,17,7,14,-5,22,20,8,24
Cash from Investing Activity,-3,-7,-11,-9,-17,-10,-7,10,4,-20,-5,-15
Cash from Financing Activity,-1,-1,-1,-4,-4,-4,-4,-9,-19,-2,-6,-6
Net Cash Flow,-2,3,0,3,-4,-7,3,-4,7,-2,-3,3
