,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4,4,4,4,4,4,4,4,4,4,4,4,4
Reserves,62,72,79,87,95,114,120,130,128,143,160,182,190
Borrowings,1,2,4,3,2,2,3,2,1,1,0,1,0
Other Liabilities,22,18,29,29,31,20,24,37,34,24,28,38,41
Total Liabilities,89,96,116,123,132,141,151,173,167,173,192,224,235
Fixed Assets,13,20,20,21,23,34,34,34,33,35,35,76,75
CWIP,7,0,0,0,3,4,4,8,17,25,40,0,0
Investments,14,19,30,33,41,47,57,43,28,40,31,43,57
Other Assets,56,57,67,69,65,56,56,88,89,73,86,105,102
Total Assets,89,96,116,123,132,141,151,173,167,173,192,224,235
