,2022-06-01,2022-09-01,2023-03-01,2023-06-01,2023-09-01
Sales,461,563,613,648.0,735.0
Expenses,297,331,378,357.0,375.0
Operating Profit,163,231,235,290.0,360.0
OPM %,35,41,38,45.0,49.0
Other Income,2,4,7,4.0,3.0
Interest,82,102,99,119.0,147.0
Depreciation,15,19,31,22.0,24.0
Profit before tax,69,113,112,153.0,191.0
Tax %,31,25,24,19.0,24.0
Net Profit,47,85,85,123.0,145.0
EPS in Rs,,,,35.09,41.39
