,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,780,1384,1778,2223
Expenses,281,939,1132,1340
Operating Profit,499,444,646,883
OPM %,64,32,36,40
Other Income,76,-565,638,8
Interest,200,246,278,396
Depreciation,15,50,71,89
Profit before tax,360,-417,935,406
Tax %,21,-14,8,25
Net Profit,286,-475,857,305
EPS in Rs,,,,
